step,t,learning_rate,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,curvature_task_sq_t,lambda_measured_task_t,lambda_rayleigh_task_t,batch_size,L_task_test_t
104,0.10400000000000008,0.001,104,2.276632785797119,0.0022969999313354494,2.2789297857284545,45.939998626708984,0.20482400059700012,1.207911528887141,1017.41226421958,,6000,
105,0.10500000000000008,0.001,105,2.27642822265625,0.0022970041275024414,2.2787252267837523,45.94008255004883,0.2047986090183258,1.2078550051516008,1017.3337435942705,,6000,
106,0.10600000000000008,0.001,106,2.2762234210968018,0.002297007942199707,2.2785204290390015,45.94015884399414,0.20472081005573273,1.207798405278754,1016.994934722492,,6000,
107,0.10700000000000008,0.001,107,2.2760186195373535,0.002297012519836426,2.27831563205719,45.940250396728516,0.2047799527645111,1.2077417951395466,1017.3364220165129,,6000,
108,0.10800000000000008,0.001,108,2.2758138179779053,0.0022970169067382815,2.2781108348846435,45.940338134765625,0.20476163923740387,1.2076851747324189,1017.2931332842036,,6000,
109,0.10900000000000008,0.001,109,2.275609254837036,0.0022970211029052735,2.2779062759399413,45.94042205810547,0.20477385818958282,1.2076286099880658,1017.4014916304764,,6000,
110,0.11000000000000008,0.001,110,2.275404214859009,0.002297025299072266,2.277701240158081,45.94050598144531,0.20480626821517944,1.2075719031081662,1017.6103022339081,,6000,
111,0.11100000000000008,0.001,111,2.2751996517181396,0.002297029685974121,2.2774966814041138,45.94059371948242,0.20482364296913147,1.2075153178440927,1017.7443214624815,,6000,
112,0.11200000000000009,0.001,112,2.2749948501586914,0.00229703426361084,2.2772918844223025,45.9406852722168,0.20479026436805725,1.2074586563616516,1017.6262182846261,,6000,
113,0.11300000000000009,0.001,113,2.274790048599243,0.0022970388412475585,2.2770870874404907,45.94077682495117,0.20469656586647034,1.2074019846034945,1017.2083621364518,,6000,
114,0.11400000000000009,0.001,114,2.274585247039795,0.0022970428466796877,2.2768822898864745,45.94085693359375,0.20460325479507446,1.2073453025680612,1016.7924007815011,,6000,
115,0.11500000000000009,0.001,115,2.274380683898926,0.002297047424316406,2.2766777313232422,45.940948486328125,0.20459993183612823,1.207288676257806,1016.8235776234733,,6000,
116,0.11600000000000009,0.001,116,2.2741761207580566,0.0022970523834228516,2.2764731731414796,45.94104766845703,0.20458000898361206,1.207232039691078,1016.772263777704,,6000,
117,0.11700000000000009,0.001,117,2.2739717960357666,0.0022970569610595705,2.276268852996826,45.941139221191406,0.20461758971214294,1.207175458894235,1017.0067070427592,,6000,
118,0.11800000000000009,0.001,118,2.2737669944763184,0.0022970615386962894,2.2760640560150147,45.94123077392578,0.204634889960289,1.207118735781986,1017.140487813193,,6000,
119,0.11900000000000009,0.001,119,2.273562431335449,0.002297066116333008,2.275859497451782,45.941322326660156,0.2044985592365265,1.207062068436512,1016.5105734856377,,6000,
120,0.12000000000000009,0.001,120,2.27335786819458,0.0022970712661743165,2.2756549394607544,45.94142532348633,0.2044343203306198,1.2070053908283458,1016.2389756535566,,6000,
121,0.1210000000000001,0.001,121,2.27315354347229,0.002297075653076172,2.2754506191253663,45.94151306152344,0.20437166094779968,1.2069487690316891,1015.9751574796152,,6000,
122,0.1220000000000001,0.001,122,2.27294921875,0.002297080421447754,2.2752462991714477,45.94160842895508,0.2044479101896286,1.2068921369931478,1016.401900002383,,6000,
123,0.1230000000000001,0.001,123,2.272744655609131,0.0022970855712890624,2.27504174118042,45.94171142578125,0.20446747541427612,1.2068354286115097,1016.5469320842878,,6000,
124,0.1240000000000001,0.001,124,2.2725400924682617,0.002297090530395508,2.2748371829986573,45.941810607910156,0.20442715287208557,1.2067787099609624,1016.3942296199367,,6000,
125,0.12500000000000008,0.001,125,2.2723357677459717,0.002297095489501953,2.2746328632354738,45.94190979003906,0.2044147253036499,1.2067220471635522,1016.3801636879086,,6000,
126,0.12600000000000008,0.001,126,2.2721314430236816,0.002297100067138672,2.27442854309082,45.94200134277344,0.20443382859230042,1.2066653741180535,1016.522888501977,,6000,
127,0.12700000000000009,0.001,127,2.2719268798828125,0.0022971052169799807,2.2742239850997925,45.94210433959961,0.204396054148674,1.206608624675394,1016.3828600363006,,6000,
128,0.12800000000000009,0.001,128,2.2717225551605225,0.0022971103668212893,2.274019665527344,45.94220733642578,0.20435282588005066,1.2065519311171053,1016.2156502829381,,6000,
129,0.1290000000000001,0.001,129,2.2715182304382324,0.002297115516662598,2.273815345954895,45.94231033325195,0.2043900191783905,1.2064952273060745,1016.4483765166475,,6000,
130,0.1300000000000001,0.001,130,2.2713139057159424,0.0022971206665039065,2.2736110263824463,45.942413330078125,0.20441974699497223,1.2064385132407522,1016.6440050683909,,6000,
131,0.1310000000000001,0.001,131,2.2711093425750732,0.002297125816345215,2.2734064683914186,45.9425163269043,0.20443585515022278,1.2063817227241898,1016.7719783846334,,6000,
132,0.1320000000000001,0.001,132,2.270905017852783,0.00229713134765625,2.2732021492004395,45.942626953125,0.2044297456741333,1.206324988133662,1016.7894109053254,,6000,
133,0.1330000000000001,0.001,133,2.270700454711914,0.002297136688232422,2.2729975914001463,45.94273376464844,0.20429760217666626,1.2062681770648354,1016.1800140020714,,6000,
134,0.1340000000000001,0.001,134,2.270496368408203,0.0022971416473388673,2.272793510055542,45.942832946777344,0.20433005690574646,1.2062114881742174,1016.3892098973328,,6000,
135,0.1350000000000001,0.001,135,2.270291805267334,0.002297146987915039,2.272588952255249,45.94293975830078,0.20429052412509918,1.2061546565588976,1016.2404448593537,,6000,
136,0.1360000000000001,0.001,136,2.270087480545044,0.002297152328491211,2.272384632873535,45.94304656982422,0.2043028324842453,1.2060978809113032,1016.349513838188,,6000,
137,0.1370000000000001,0.001,137,2.269883394241333,0.002297157859802246,2.272180552101135,45.94315719604492,0.20428161323070526,1.2060411612658146,1016.2917475368706,,6000,
138,0.1380000000000001,0.001,138,2.269679069519043,0.002297163200378418,2.2719762327194215,45.94326400756836,0.20423924922943115,1.2059843650983462,1016.1288411700549,,6000,
139,0.1390000000000001,0.001,139,2.269474983215332,0.0022971689224243167,2.2717721521377565,45.94337844848633,0.2042708843946457,1.2059276249538318,1016.3340494126224,,6000,
140,0.1400000000000001,0.001,140,2.269270658493042,0.002297174644470215,2.2715678331375124,45.9434928894043,0.2042676955461502,1.2058708082602907,1016.3660691356172,,6000,
141,0.1410000000000001,0.001,141,2.269066333770752,0.0022971797943115236,2.2713635135650634,45.94359588623047,0.20429515838623047,1.2058139812953956,1016.5506200222919,,6000,
142,0.1420000000000001,0.001,142,2.268862009048462,0.002297186088562012,2.271159195137024,45.943721771240234,0.20425556600093842,1.2057571440575947,1016.4015216874312,,6000,
143,0.1430000000000001,0.001,143,2.268657922744751,0.002297191429138184,2.2709551141738893,45.94382858276367,0.20421062409877777,1.2057003628844778,1016.2257409140908,,6000,
144,0.1440000000000001,0.001,144,2.268453598022461,0.002297196960449219,2.27075079498291,45.943939208984375,0.20425905287265778,1.2056435051082022,1016.514676223431,,6000,
145,0.1450000000000001,0.001,145,2.268249273300171,0.0022972032546997073,2.2705464765548706,45.94406509399414,0.20422717928886414,1.205586637054367,1016.4039962545852,,6000,
146,0.1460000000000001,0.001,146,2.26804518699646,0.0022972087860107424,2.2703423957824707,45.944175720214844,0.20418702065944672,1.2055298250965278,1016.2520233446598,,6000,
147,0.1470000000000001,0.001,147,2.267841100692749,0.0022972143173217775,2.2701383150100707,45.94428634643555,0.20424693822860718,1.2054730028820053,1016.5981539543413,,6000,
148,0.1480000000000001,0.001,148,2.267636775970459,0.002297220802307129,2.269933996772766,45.94441604614258,0.2042376548051834,1.2054161040101772,1016.5999315542199,,6000,
149,0.1490000000000001,0.001,149,2.26743221282959,0.002297226333618164,2.269729439163208,45.94452667236328,0.20423609018325806,1.205359128443495,1016.6401964217534,,6000,
150,0.1500000000000001,0.001,150,2.267228126525879,0.002297232437133789,2.269525358963013,45.94464874267578,0.20427078008651733,1.2053022754136755,1016.8608369203099,,6000,
151,0.1510000000000001,0.001,151,2.267024040222168,0.002297238349914551,2.2693212785720824,45.944766998291016,0.20429962873458862,1.2052454121209797,1017.0524277295395,,6000,
